Estado,Municipio,Colonia,Codigo
Distrito Federal,Álvaro Obregón,La Herradura del Pueblo Tetelpan,1760
Distrito Federal,Álvaro Obregón,La Angostura,1770
Distrito Federal,Álvaro Obregón,San José del Olivar,1770
Distrito Federal,Álvaro Obregón,Olivar de los Padres,1780
Distrito Federal,Álvaro Obregón,Tizampampano del Pueblo Tetelpan,1780
Distrito Federal,Álvaro Obregón,El Olivarito,1788
Distrito Federal,Álvaro Obregón,Miguel Hidalgo,1789
Distrito Federal,Álvaro Obregón,Lomas de los Angeles del Pueblo Tetelpan,1790
Distrito Federal,Álvaro Obregón,Lomas de San Ángel Inn,1790
Distrito Federal,Álvaro Obregón,San Bartolo Ameyalco,1800
Distrito Federal,Álvaro Obregón,Rancho San Francisco Pueblo San Bartolo Ameyalco,1807
Distrito Federal,Álvaro Obregón,Villa Verdún,1810
Distrito Federal,Álvaro Obregón,Ejido San Mateo,1820
Distrito Federal,Álvaro Obregón,Lomas Axomiatla,1820
Distrito Federal,Álvaro Obregón,Santa Rosa Xochiac,1830
Distrito Federal,Álvaro Obregón,Torres de Potrero,1840
Distrito Federal,Álvaro Obregón,Rancho del Carmen del Pueblo San Bartolo Ameyalco,1849
Distrito Federal,Álvaro Obregón,Rincón de La Bolsa,1849
Distrito Federal,Álvaro Obregón,Paraje del Caballito,1856
Distrito Federal,Álvaro Obregón,Lomas de Chamontoya,1857
Distrito Federal,Álvaro Obregón,Tlacoyaque,1859
Distrito Federal,Álvaro Obregón,Lomas de La Era,1860
Distrito Federal,Álvaro Obregón,Lomas de los Cedros,1870
Distrito Federal,Álvaro Obregón,Jardines del Pedregal,1900
Distrito Federal,Álvaro Obregón,San Jerónimo Aculco,1904
Distrito Federal,Álvaro Obregón,Rancho Anzaldo y Contreras,1940
Distrito Federal,Álvaro Obregón,Pedregal,1990
Distrito Federal,Azcapotzalco,Centro de Azcapotzalco,2000
Distrito Federal,Azcapotzalco,Delegación Política Azcapotzalco,2008
Distrito Federal,Azcapotzalco,Nuevo Barrio San Rafael,2010
Distrito Federal,Azcapotzalco,Los Reyes,2010
Distrito Federal,Azcapotzalco,San Rafael,2010
Distrito Federal,Azcapotzalco,San Marcos,2020
Distrito Federal,Azcapotzalco,Santo Tomas,2020
Distrito Federal,Azcapotzalco,San Sebastián,2040
Distrito Federal,Azcapotzalco,Del Maestro,2040
Distrito Federal,Azcapotzalco,Wake,2050
Distrito Federal,Azcapotzalco,Libertad,2050
Distrito Federal,Azcapotzalco,Santa Maria Malinalco,2050
Distrito Federal,Azcapotzalco,Sindicato Mexicano de Electricistas,2060
Distrito Federal,Azcapotzalco,Un Hogar Para Cada Trabajador,2060
Distrito Federal,Azcapotzalco,Del Recreo,2070
Distrito Federal,Azcapotzalco,Palestina,2070
Distrito Federal,Azcapotzalco,Nextengo,2070
Distrito Federal,Azcapotzalco,Nextengo,2070
Distrito Federal,Azcapotzalco,Azcapotzalco,2070
Distrito Federal,Azcapotzalco,Clavería,2080
Distrito Federal,Azcapotzalco,Sector Naval,2080
Distrito Federal,Azcapotzalco,San Álvaro,2090
Distrito Federal,Azcapotzalco,Angel Zimbron,2099
Distrito Federal,Azcapotzalco,Los Oyameles,2100
Distrito Federal,Azcapotzalco,El Rosario,2100
Distrito Federal,Azcapotzalco,CROC 6 Olimpia,2109
Distrito Federal,Azcapotzalco,Manuel Rivera Anaya CROC 1,2109
Distrito Federal,Azcapotzalco,Ecológica Novedades Impacto,2110
Distrito Federal,Azcapotzalco,San Pablo Xalpa,2110
Distrito Federal,Azcapotzalco,San Martín Xochinahuac,2120
Distrito Federal,Azcapotzalco,San Martín Xochinahuac,2125
Distrito Federal,Azcapotzalco,Tepantongo,2127
Distrito Federal,Azcapotzalco,Nueva El Rosario,2128
Distrito Federal,Azcapotzalco,Nueva España,2129
Distrito Federal,Azcapotzalco,Tierra Nueva,2130
Distrito Federal,Azcapotzalco,Santa Ines,2140
Distrito Federal,Azcapotzalco,Pasteros,2150
Distrito Federal,Azcapotzalco,Azcapotzalco Pasteros,2150
Distrito Federal,Azcapotzalco,Santo Domingo,2160
Distrito Federal,Azcapotzalco,Villas de Azcapotzalco,2169
Distrito Federal,Azcapotzalco,Reynosa Tamaulipas,2200
Distrito Federal,Azcapotzalco,Santa Bárbara,2230
Distrito Federal,Azcapotzalco,Ticoman,2240
Distrito Federal,Azcapotzalco,San Andrés,2240
Distrito Federal,Azcapotzalco,San Andrés Fase II,2240
Distrito Federal,Azcapotzalco,San Andrés,2240
Distrito Federal,Azcapotzalco,Santa Catarina,2250
Distrito Federal,Azcapotzalco,Pitolaca,2260
Distrito Federal,Azcapotzalco,Industrial Vallejo,2300
Distrito Federal,Azcapotzalco,Ferrería,2310
Distrito Federal,Azcapotzalco,San Andrés de las Salinas,2320
Distrito Federal,Azcapotzalco,Huautla de las Salinas,2330
Distrito Federal,Azcapotzalco,Santa Cruz de las Salinas,2340
Distrito Federal,Azcapotzalco,Jardines de Ceylán,2350
Distrito Federal,Azcapotzalco,Las Salinas,2360
Distrito Federal,Azcapotzalco,Rinconada el Olivar,2400
Distrito Federal,Azcapotzalco,San Juan Tlihuaca,2400
Distrito Federal,Azcapotzalco,San Juan Tlihuaca,2400
Distrito Federal,Azcapotzalco,Rosendo Salazar,2409
Distrito Federal,Azcapotzalco,Prados del Rosario,2410
Distrito Federal,Azcapotzalco,Trabajadores de PEMEX,2419
Distrito Federal,Azcapotzalco,Francisco Villa,2420
Distrito Federal,Azcapotzalco,Ex-Hacienda El Rosario,2420
Distrito Federal,Azcapotzalco,Presidente Madero,2430
Distrito Federal,Azcapotzalco,Providencia,2440
Distrito Federal,Azcapotzalco,Las Trancas,2450
Distrito Federal,Azcapotzalco,Miguel Hidalgo,2450
Distrito Federal,Azcapotzalco,Tezozomoc,2459
Distrito Federal,Azcapotzalco,Axolahua,2460
Distrito Federal,Azcapotzalco,La Preciosa,2460
Distrito Federal,Azcapotzalco,Ampliación Petrolera,2470
Distrito Federal,Azcapotzalco,Lázaro Cárdenas,2479
Distrito Federal,Azcapotzalco,Petrolera,2480
Distrito Federal,Azcapotzalco,San Mateo,2490
Distrito Federal,Azcapotzalco,Kervin,2490
Distrito Federal,Azcapotzalco,Unidad Cuitlahuac,2500
Distrito Federal,Azcapotzalco,Pantaco,2510
Distrito Federal,Azcapotzalco,El Jagüey,2510
Distrito Federal,Azcapotzalco,El Jagüey,2519
Distrito Federal,Azcapotzalco,Estación Pantaco,2520
Distrito Federal,Azcapotzalco,Granjas Pantaco Campamento Ferrocarrilero,2525
Distrito Federal,Azcapotzalco,Jardín Azpeitia,2530
Distrito Federal,Azcapotzalco,Hogares Ferrocarrileros,2540
Distrito Federal,Azcapotzalco,Pro-Hogar,2600
Distrito Federal,Azcapotzalco,Coltongo,2630
Distrito Federal,Azcapotzalco,Coltongo,2630
Distrito Federal,Azcapotzalco,Monte Alto,2640
Distrito Federal,Azcapotzalco,Trabajadores de Hierro,2650
Distrito Federal,Azcapotzalco,Euzkadi,2660
Distrito Federal,Azcapotzalco,Cosmopolita,2670
Distrito Federal,Azcapotzalco,Potrero del Llano,2680
Distrito Federal,Azcapotzalco,San Miguel Amantla,2700
Distrito Federal,Azcapotzalco,San Isidro,2710
Distrito Federal,Azcapotzalco,San Pedro Xalpa,2710
Distrito Federal,Azcapotzalco,Las Armas,2718
Distrito Federal,Azcapotzalco,Ampliación San Pedro Xalpa,2719
Distrito Federal,Azcapotzalco,San Bartolo Cahualtongo,2720
Distrito Federal,Azcapotzalco,San Antonio,2720
Distrito Federal,Azcapotzalco,Campo Encantado,2729
Distrito Federal,Azcapotzalco,San Francisco Tetecala,2730
Distrito Federal,Azcapotzalco,Miguel Lerdo de Tejada,2739
Distrito Federal,Azcapotzalco,La Providencia,2750
Distrito Federal,Azcapotzalco,Santiago Ahuizotla,2750
Distrito Federal,Azcapotzalco,La Escuadra,2750
Distrito Federal,Azcapotzalco,Industrial San Antonio,2760
Distrito Federal,Azcapotzalco,Santa Lucia,2760
Distrito Federal,Azcapotzalco,Santa Cruz Acayucan,2770
Distrito Federal,Azcapotzalco,Plenitud,2780
Distrito Federal,Azcapotzalco,Santa Apolonia,2790
Distrito Federal,Azcapotzalco,Nueva Santa Maria,2800
Distrito Federal,Azcapotzalco,Ignacio Allende,2810
Distrito Federal,Azcapotzalco,Victoria de las Democracias,2810
Distrito Federal,Azcapotzalco,San Bernabé,2830
Distrito Federal,Azcapotzalco,Toronja,2830
Distrito Federal,Azcapotzalco,Cobre de México,2840
Distrito Federal,Azcapotzalco,Obrero Popular,2840
Distrito Federal,Azcapotzalco,Tlatilco,2850
Distrito Federal,Azcapotzalco,Tlatilco,2860
Distrito Federal,Azcapotzalco,San Salvador Xochimanca,2870
Distrito Federal,Azcapotzalco,Aguilera,2900
Distrito Federal,Azcapotzalco,Aldana,2910
Distrito Federal,Azcapotzalco,Ampliación Cosmopolita,2920
Distrito Federal,Azcapotzalco,Liberación,2930
Distrito Federal,Azcapotzalco,Porvenir,2940
Distrito Federal,Azcapotzalco,Del Gas,2950
Distrito Federal,Azcapotzalco,San Francisco Xocotitla,2960
Distrito Federal,Azcapotzalco,Ampliación Del Gas,2970
Distrito Federal,Azcapotzalco,Arenal,2980
Distrito Federal,Azcapotzalco,Patrimonio Familiar,2980
Distrito Federal,Azcapotzalco,La Raza,2990
Distrito Federal,Benito Juárez,Piedad Narvarte,3000
Distrito Federal,Benito Juárez,Atenor Salas,3010
Distrito Federal,Benito Juárez,Esperanza,3020
Distrito Federal,Benito Juárez,Narvarte Poniente,3020
Distrito Federal,Benito Juárez,Narvarte Oriente,3023
Distrito Federal,Benito Juárez,Unidad Narvarte IMSS,3023
Distrito Federal,Benito Juárez,Unidad de Pagos de La SCT,3027
Distrito Federal,Benito Juárez,Secretaria de Comunicaciones y Transportes,3028
Distrito Federal,Benito Juárez,Insurgentes San Borja,3100
Distrito Federal,Benito Juárez,Del Valle Centro,3100
Distrito Federal,Benito Juárez,Del Valle Norte,3103
Distrito Federal,Benito Juárez,Del Valle Sur,3104
Distrito Federal,Benito Juárez,Partido Acción Nacional,3109
Distrito Federal,Benito Juárez,Cámara Nacional de la Industria del Hierro y Acero,3199
Distrito Federal,Benito Juárez,Tlacoquemecatl,3200
Distrito Federal,Benito Juárez,La Interamericana Compañía de Seguros S.A.,3219
Distrito Federal,Benito Juárez,Centro Urbano Presidente Miguel Alemán,3220
Distrito Federal,Benito Juárez,Centro Hospitalario 20 de Noviembre,3229
Distrito Federal,Benito Juárez,Actipan,3230
Distrito Federal,Benito Juárez,Acacias,3240
Distrito Federal,Benito Juárez,Portales Sur,3300
Distrito Federal,Benito Juárez,Portales Norte,3303
Distrito Federal,Benito Juárez,Santa Cruz Atoyac,3310
Distrito Federal,Benito Juárez,Modulo Social las Flores,3313
Distrito Federal,Benito Juárez,Delegación Política Benito Juárez,3319
Distrito Federal,Benito Juárez,Residencial Emperadores,3320
Distrito Federal,Benito Juárez,Xoco,3330
Distrito Federal,Benito Juárez,Bancomer S.A.,3339
Distrito Federal,Benito Juárez,General Pedro Maria Anaya,3340
Distrito Federal,Benito Juárez,Álamos,3400
Distrito Federal,Benito Juárez,Postal,3410
Distrito Federal,Benito Juárez,Miguel Alemán,3420
Distrito Federal,Benito Juárez,Josefa Ortiz de Domínguez,3430
Distrito Federal,Benito Juárez,Niños Héroes,3440
Distrito Federal,Benito Juárez,Nativitas,3500
Distrito Federal,Benito Juárez,Moderna,3510
Distrito Federal,Benito Juárez,Iztaccihuatl,3520
Distrito Federal,Benito Juárez,Villa de Cortes,3530
Distrito Federal,Benito Juárez,Del Carmen,3540
Distrito Federal,Benito Juárez,Zacahuitzco,3550
Distrito Federal,Benito Juárez,Albert,3560
Distrito Federal,Benito Juárez,Portales Oriente,3570
Distrito Federal,Benito Juárez,Miravalle,3580
Distrito Federal,Benito Juárez,Ermita,3590
Distrito Federal,Benito Juárez,Vertiz Narvarte,3600
Distrito Federal,Benito Juárez,Américas Unidas,3610
Distrito Federal,Benito Juárez,Periodista,3620
Distrito Federal,Benito Juárez,Independencia,3630
Distrito Federal,Benito Juárez,Del Lago,3640
Distrito Federal,Benito Juárez,Letrán Valle,3650
Distrito Federal,Benito Juárez,San Simón Ticumac,3660
Distrito Federal,Benito Juárez,Santa Maria Nonoalco,3700
Distrito Federal,Benito Juárez,Ciudad de los Deportes,3710
Distrito Federal,Benito Juárez,Nochebuena,3720
Distrito Federal,Benito Juárez,San Juan,3730
Distrito Federal,Benito Juárez,Extremadura Insurgentes,3740
Distrito Federal,Benito Juárez,San Pedro de los Pinos,3800
Distrito Federal,Benito Juárez,Procuraduría Federal Fiscal,3809
Distrito Federal,Benito Juárez,Napoles,3810
Distrito Federal,Benito Juárez,The Sidney Ross Co S.A.,3818
Distrito Federal,Benito Juárez,World Trade Center Ciudad de México,3819
Distrito Federal,Benito Juárez,8 de Agosto,3820
Distrito Federal,Benito Juárez,Ampliación Napoles,3840
Distrito Federal,Benito Juárez,Cámara Nacional de la Industria de Transformación,3849
Distrito Federal,Benito Juárez,San José Insurgentes,3900
Distrito Federal,Benito Juárez,Mixcoac,3910
Distrito Federal,Benito Juárez,Insurgentes Mixcoac,3920
Distrito Federal,Benito Juárez,Merced Gómez,3930
Distrito Federal,Benito Juárez,Crédito Constructor,3940
